,Tweet,Class,Encoded_Class
856,لاہور ہائی کورٹ سماعت دوران آر واے نیو پروگرام کھرا سچ پروگرام بند میزبان مبشر لقمان پرپابندی عائد حکم,N,0
857,خواجہ صاحب بارش گئئساڈے لائق کوئئ ہور حکم,P,2
858,فوڈ نام آملیٹ اسکی ترکیب پوچھنی,O,1
859,جمال حسن قرآں نور جان مسلماں قمر چاند اوروں چاند قرآں,P,2
860,راؤ بتانا اپ چسکا لینے ائے p,P,2
861,نظریہ شخصیات کامیابی انشاالہ قریب ہمیں بس دوسرے ضرورت نظریے اکھٹے متحد,P,2
862,محترم نواز شریف نون لیگ سادہ سوال,P,2
863,چل ٹھیک,P,2
864,ایڈا توں مڑیکا دا صدرمیں مصروف ھو نہہ,P,2
865,گلی گلی شور عمران خان ڈیزل چور چندے انقلاب,N,0
866,عشق خواب خیال آنکھ آنکھ نیند,P,2
867,جی بلکل کرپش انقلاب ہین,P,2
868,شش کلمے معہ ترجمہ,O,1
869,دوستو تنقید سوچیں دہرنہ ختم پہر دہرنوں اعلان حقیقت دہرنہ,N,0
870,کامران شفیع کہنا پاکستان پانچ لاکھ زائد افراد آن لائن کام کرکے پاکستان زر مبادلہ اضافے سبب بن,P,2
871,کابل مسجد ریپ امام سال قیدکی سزاسنادی روزنامہ اردو پوائنٹ,N,0
872,دوسرے اضلاع ٹریفک وارڈنز افسران وائرلیس سیٹ گاڑیاں ساتھ لائیں,P,2
873,لاہور محرم الحرام احترام دھرنا ختم گیاجلسوں سلسلہ جاری ہےچودھری پرویز الہی,P,2
874,سر جی عقل دانش سمندر ھم ڈنمارک فرانس برآمد بیچارے مستفید سکے ڈیموکریسی زندہ باد,P,2
875,بنگلہ دیش کھلاڑی کیخلاف عالمی عدالت,N,0
876,مریم نواز استعفی مانگنے چندہ مانگ واقعی عمران نواز منی لانڈرنگ چندہ مانگ,N,0
877,موبائل کراچی فری نیوز حاصل میسج ٹائپ بھیج بغیر چارجز,P,2
878,نھی شرم نھی انھوں شرم بیچ کھائ ھے,N,0
879,کچہ چیز مسلمانیتیری نگاہ فقیر رہبانیسکوں پرستی راہب فقیر بیزارفقیر سفینہ ہمیشہ طوفانی,N,0
880,شاباش اچھی تربیت زبان گھر استعمال کافی فائدہ فائدہ افاقہ ضرور ہوگا,P,2
881,حضرت عائشہ فرمایا محفلوں عمر تذکروں آباد جہاں عمر ذکر ہوگا عدل ذکر ہوگا,P,2
882,پانی سرسے گزرچکاہے فیصلہ تبدیل امکان فاروق ستار,N,0
883,کپتان سیاست نئی روایت,P,2
884,ملک بحث چل نئے انتظامی یونٹس قیام ہوجو لوگ تقسیم خلاف معقول جواز بس گاالیاں,N,0
885,اداکارہ سدرہ نور رشتہ ازدواج منسلک ہوگئیں,P,2
886,وجہ,O,1
887,ڈسکے ناچے,P,2
888,بس آواز سننے کان ترس اوووووووووووئے قادری ذلیل کرا,N,0
889,استعفی دوتحریک استعفی لواورچندہ دوتحریک بدل گئیمریم نواز کاٹویٹ,N,0
890,چلو کوئ پٹوارہوں خود وجہ تھوڑی دیر خوش,P,2
891,زندگیقدم گھسیٹ گھسیٹ چل دن لمبے جارہے دن سال برابر گھنٹاایک دن جتنا,N,0
892,اجیاکلکم واوا اودر تیان مارن واں,P,2
893,آپکی بات اتفاق رائے لینا سننا پسند عادی بھائی کام بات نئ پ سنتا,P,2
894,واہ غریبوں واہ مصیبتوں,N,0
895,مجیب الرحمن شامی پروفیسر غلام اعظم نذرانہ,P,2
896,قرب وفا سارے جھگڑے انا بات نیت وقت سارے دعا بھول,P,2
897,ڈی پیز کیلئے کھیلا جانیوالا امدادی میچ آفریدی الیون جیت,P,2
898,بدعا دنیا آخرت ذلیل رسوا,N,0
899,مرسو مرسو بھوکے مرسو مرو مرو بھوکے مرو,N,0
900,پوچھیں اچھا,P,2
901,ٹین ایجر بچے ھوتے,P,2
902,ساتھ مل ہنسے رونا چاہو دلاسہ مل جائں ساتھ رونے,N,0
903,اسلام آباد طاہر القادری دھرنا چھوڑنے سیاست خوش آمدید کہتے رحمان ملک,P,2
904,راے بلاول بھٹو زرداری = بھٹو کاٹا جاے مریم نواز شریفمریم صفدر لکھتیں,O,1
905,چندے انقلاب تھک پکوڑے تلنا,N,0
906,اضافی لوڈ شیڈنگ ذمہ دار ٹھیرایا,N,0
907,سیاسی جماعتیں چندے چلتی البتہ فیملی لمیٹیڈ کمپنی غلام احساس شعور عاری غلام ٹھہرے,N,0
908,آج ملک بھر یوم عدل بسلسلہ یوم شہادت سیدنا فاروق اعظم رض مذہبی عقیدت منایا,N,0
909,طاہر القادری نام کیسی انوکھی داستان سنا گیاایک شخص سارے ملک ماموں بن بنا,N,0
910,حس حکومتیں پشت باہر ہاتھ معیشت ایم ایف سنبھال جنرل حمید گل,N,0
911,کراچیلیاقت آباد ٹمبرمارکیٹ آتشزدگیکئی دکانیں جل گئیں,N,0
912,شدید کھانسی بھائی,N,0
913,فی الحال لطیفہ ڈیزل باقی ہیچ آج کل,P,2
914,اسلام آباد خورشید شاہ بیان پرانھیں وضاحت موقع جانا چاہیے حافظ طاہر اشرفی,P,2
915,سرجی فون تے نیٹ سلو ای سم تے اک حوالہ کڈ لنک سینڈ واں چیکنگ پا لوو,P,2
916,کراچی عاشورہ محرم عزادارن کوہرممکن سہولیات فراہم رکن قومی اسمبلی محبوب عالم,P,2
917,شہید پاکستان عبد القادر ملا پروفیسر غلام اعظم ساتھی ملک مشرقی بازو کاٹنے بھارتی سازش مقابلہ,P,2
918,سن رھا ھے دیکھ رھی ھو ں,P,2
919,رسول اللہﷺ اخلاق گر آدمی منہ کرکے بات کرتاتو متوجہ فارغ ہوکروہی آدمی چہرہ پھیرلیتا,P,2
920,متوجہ شکریہ ڈایلاگ,P,2
921,مزید جاننے لنک پہ,O,1
922,تنہا زندگی جینے مزہ خوشی غم,P,2
923,ہوشیار خبردار شھباز شریف چھوٹے بیٹے سلمان شھباز درد ناک دلخراش سکینڈل منظر عام پہ آگیا واہیات ناسور,N,0
924,جیو نیوز مسلسل گھنٹے افواج پاکستان ایس کیچڑ اچھالتا پیمرا چئیرمین سارا,N,0
925,لاہور بادامی باغ مردہ جانوروں گوشت پکڑا افراد گرفتارلاہورتاندلیانوالہ نیوز لاہور مردہ,N,0
926,دریا خاموش تھاجن بلا چاہتا تھاان طعنے سنتا تھادنیا,P,2
927,بہرحال حقیقت پتا جاری رکھیں,P,2
928,بنے نیا پاکستان ملک نام نہاد وارثوں خوش,N,0
929,لاہور دور حکومت ادویات مفت ملتی چودھری پرویز الہی,P,2
930,محمد ﷺ فرمایا جسکا مفہوم نبی عمر سیدنا عمر فاروق,P,2
931,چندے پیسٹریاں خریدی,P,2
932,چینل ٹائم چینل بتا دیکھ,P,2
933,وزیر اعلی یقین دہانی کرائی حکومت جرائم قابو پانے کیلئے وسائل بروئے کار,P,2
934,محکمہ موسمیات کیمطابق بحیرہ عرب کم دباؤ مزید شدت آرہی امکان آئندہ گھنٹوں سمندری طوفان تبدیل ہوجائے,N,0
935,پختگی میچورٹی ضرورت جسم ذہین درکار ہےکہ جسم عمر ساتھ ساتھ فطری انداز,P,2
936,چھوٹا بھائی صدمہ جلد نحوست بھرا فیصلہ,N,0
937,ریلوے شیخ بحال لال مسجد پہ ڈالتے ھو ھو اچھے کام پہ ڈالتے,N,0
938,بریکنگ دھرنوں روزانہ اخراجات کروڑوں روپے وجہ پارٹی فنڈز ختم,N,0
939,ویسے پراسرار پراسرار ڈائنیں,N,0
940,دبئی آسٹریلیا خلاف پاکستان پہلی وکٹگرگئیمحمد حفیﻆ بغیرکوئی رن بنائے آؤٹ,N,0
941,ورلڈ کپ جیتامیں ہسپتال بنایامیں سیاسی پارٹی بنائیمیں کنٹینر سیاست شروع کیمیں چندہ ٹیکنالوجی بام عروج پہنچایا,P,2
942,بریکنگ کراچیایدھی سنٹر ڈکیتی مرکزی ملزم مظہرکی نشاندہی پولیس چھاپے,N,0
943,شرمندہ مت کیجیے جناب,N,0
944,جہانگیرترینخورشیدقصوریاعظم سواتی پارٹی لگتا فقیر پی ٹی مانگنا عادت بس,N,0
945,دھرنے اچھا کامیابی ورنہ,P,2
946,سستی بجلی عوام جائز مطالبہ نواز شریف عوام جائز مطالبات چاہیے اللہ اختیار تقدیر بدلے,P,2
947,دہشتگردی جاں بحق گریڈ اوپر ملازمین اہلخانہ کروڑ روپے امداد ملے,P,2
948,ٹریفک چوک تلہ گنگ نام غازی میاں محمد شہید چوکجسے بھول تلہ گنگشہر معروف ترین چوک ٹریفک چوک کانام,N,0
949,روندے نوں ھسایا ای تے دس خاں پکھے نوں رجایا اع تے دس خاں راہ وچ پے روڑے نوں ھٹایا ای تے دس خاں پھٹ نوں سیتا ای تے دس خاں,N,0
950,منافق تین نشانیاں بات توجھوٹ بولے وعدہ تواس خلاف ورزی امانت رکھوائی تواس خیانت بخاری,N,0
951,احتجاج احتجاج احتجاج مہاجر قوم نسلوں بقا کیلئے گھروں باہر نکلیں کلیم الطافی~,N,0
952,لفظ مہاجر توہین خورشید شاہ سمیت پیپلز پارٹی رہنما رسوا ندیم احسان,N,0
953,جان ابھیمان پرنتو ابھیمان جان,N,0
954,بیان رسوائیوں ڈرتا,N,0
955,کینیڈا پارلیمنٹ فائرنگ ویڈیو جاری کینیڈا پولیس پارلیمنٹ حملے ویڈیو جاری,N,0
956,لفظوں کنکر پھینکو جھیل گھری خاموشی ھے,N,0
957,شب وصال جلدی آجاوے ہور ہانڈی توجہ مرکوز کرلے گھر پتا چلے منڈا جوان گوا,P,2
958,خان چھوڑ بحث فائدہ,P,2
959,سنا دھرنے مل کوئ چرسی ھے,N,0
960,بریکنگ دھرنوں تحریک انصاف عوامی تحریک کنگال دیابریکنگ پارٹیاں پہلی بار مالی بحران شکار گئیں,N,0
961,پاکستان ٹیم گھٹیا کارکادی دیکھ شیر یاد ایا شرم نھیں اتی,N,0
962,چوک مانگنے فقیروں جگہ پی ٹی ورکرز کام بھیجے,N,0
963,لعنت نظام ٹیکسی چلانے گریجوئیٹ ضروری مگرملک چلانے شرط پارلیامنٹ ختم,N,0
964,اسپیکر ذاتی طور پیش تصدیق ضروری ہوائی استیفے زبردستی,N,0
965,قادری کشتیاں جلاکر آیاتہاکشتیاں جلائیں گہر اورسامان جلایا,N,0
966,ہنہ کوتاہیوں سبق فرشتے غلطیاں کنٹینرخان,N,0
967,حملے ہورہے بتایا گناہ مولانا فضل الرحمان,N,0
968,آپکی ٹوئیٹس کہنے ماشا اللہ اللہ پاک ڈھیروں اجر عطا فرمائے آمین,P,2
969,کام لوٹنا,N,0
970,عوامی تحریک چیئرمین ڈاکٹر طاہر القادری شاہراہ دستور روزہ جاری دھرنا ختم جہاں حکومت ریلیف,P,2
971,دبئی آسٹریلیا مزاحمت جاری میچ آخری سیشن پاکستان وکٹوں ضرورت تازہ ترین اسکور,N,0
972,میٹرو بس منصوبہ ارب کروڑ لاکھ روپے سالانہ خسارے چل دستاویز,N,0
973,لاہور انڈر ٹیم اعلان سعود سکیل کپتان برقرار,P,2
974,شکریہ خیر مبارک آپکو مبارک,P,2
975,نقصان تھوڑا غریبکا جمع پونجی کاروبا تباہ ہوااورہاتھ کہتے حکومت ملے,N,0
976,چیرمین تحریک انصاف عمران خان کہنا محرم الحرام باوجود اسلام آباد محرم,N,0
977,پاکستانی فورسز جانب کوہستان مری مختلف علاقوں عام بلوچ آبادی نشانہ بنایا معصوم بلوچوں فضائی,N,0
978,علامہ مشرقی طاہر القادری سفر یاد,O,1
979,سارے پاکستا پتا ھے پارٹیاں مل پاکستان زبردستی قابض ھیں پولیس عوام حقوق صلب جرتی ھے پیمرانیپرانادرا نو میرٹ,N,0
980,سیالکوٹ ہندوستانی فورسز بلا اشتعال فائرنگ پاکستان صوبہ پنجاب شہر سیالکوٹ ورکنگ,N,0
981,اسلام آباد ملزم ساتھی فرار ہوگیا کارکن حملہ شدید ردعمل گارشید گوڈیل,N,0
982,PTI لوگ گالی گلوچ اگست رات یاد چاہیے لیڈر چھوڑ بھاگ,N,0
983,انشا اللہ وقت سیاسی بلنڈر جوش بجائے ہوش کام,P,2
984,دنیا بہترین مسلم خلیفہ بچوں نصیحت مولانا طارق جمیل صاحب,P,2
985,تہذیب سکھاتی جینے سلیقہتعلیم جاہل جہالت دوغلے لوگوں نام,P,2
986,مہاجر حصے پاکستان ساتھ لیکر خواجہ اظہار الحسن العجب,P,2
987,پاکستان میچ جتنے کیلے تین ویکٹس ضرورت میچ ہاتھ,P,2
988,پاکستان معاشی حب کراچی خالد مقبول صدیقی,P,2
989,نئے صوبے قیام انتظامی بنیادوں پہ لسانی بنیادوں پہ,P,2
990,انشاء جی اٹھو کوچ شہر جی لگانا انشاء جی اٹھو کوچ شہر جی لگانا,N,0
991,شہید کردو طاہر القادری جی خکم تعمیل کب,P,2
992,پہلی بار انکل دل دکھا آہستہ آہستہ عادت جاے,N,0
993,چندے انقلاب جاسکتا بندے اٹھانے چپ کروایا,N,0
994,گھر استنجاء وضو مسجد آنااحادیث مبارکہ ثابت ھوتا ھے وضو استنجاء گھر کرکے جانا,P,2
995,آدمی سالار کافی معقول ٹپ,P,2
996,چچا غالب روح معذرت ساتھہم مانا ڈیزلمفت ہاتھ برا,P,2
997,واہ جناب واہ اچھی جناب خود فرشتہ سمجوں انسان,P,2
998,اسلام آباد پی ٹی دھرنا ختم صفائی کام آغاز روزنامہ اردو پوائنٹ,P,2
999,دنیا راہ وفا ساتھتم چلے چلو یوں چلی چلے,P,2
